"Country","Commodity","Year","Unit","Quantity","QuantityFootnotes"
"United States","Electricity - total solar production","2018","Kilowatt-hours, million","89773",""
"United States","Electricity - total solar production","2017","Kilowatt-hours, million","70980",""
"United States","Electricity - total solar production","2016","Kilowatt-hours, million","50334",""
"United States","Electricity - total solar production","2015","Kilowatt-hours, million","35635",""
"United States","Electricity - total solar production","2014","Kilowatt-hours, million","25764",""
"United States","Electricity - total solar production","2013","Kilowatt-hours, million","15872",""
"United States","Electricity - total solar production","2012","Kilowatt-hours, million","10145",""
"United States","Electricity - total solar production","2011","Kilowatt-hours, million","6215",""
"United States","Electricity - total solar production","2010","Kilowatt-hours, million","3942",""
"United States","Electricity - total solar production","2009","Kilowatt-hours, million","2515",""
"United States","Electricity - total solar production","2008","Kilowatt-hours, million","2092",""
"United States","Electricity - total solar production","2007","Kilowatt-hours, million","1674",""
"United States","Electricity - total solar production","2006","Kilowatt-hours, million","1287",""
"United States","Electricity - total solar production","2005","Kilowatt-hours, million","1120",""
"United States","Electricity - total solar production","2004","Kilowatt-hours, million","965",""
"United States","Electricity - total solar production","2003","Kilowatt-hours, million","848",""
"United States","Electricity - total solar production","2002","Kilowatt-hours, million","830",""
"United States","Electricity - total solar production","2001","Kilowatt-hours, million","785",""
"United States","Electricity - total solar production","2000","Kilowatt-hours, million","709",""
